0,5,7,1.4,5,3.5,1.6,1.4,1.2,1.3,1.7,1.6,1.4,1.3,1.2
5,0,7,2,3.5,5,2.2,1.9,1.6,1.7,2,1.7,1.6,1.4,1.4
7,7,0,1.7,7,7,2,1.6,1.4,1.6,2.2,2,1.7,1.6,1.5
1.4,2,1.7,0,1.4,2,7,10,7,5,1.8,1.4,1.7,1.4,1.5
5,3.5,7,1.4,0,5,1.7,1.4,1.3,1.4,2.4,2.2,1.8,1.7,1.6
3.5,5,7,2,5,0,2.5,2,1.7,2,3.2,2.5,2.2,2,1.9
1.6,2.2,2,7,1.7,2.5,0,10,5,7,2.4,1.8,2.2,1.7,1.9
1.4,1.9,1.6,10,1.4,2,10,0,10,10,2,1.6,2,1.6,1.7
1.2,1.6,1.4,7,1.3,1.7,5,10,0,7,1.7,1.4,1.8,1.4,1.6
1.3,1.7,1.6,5,1.4,2,7,10,7,0,2.2,1.7,2.4,1.8,2
1.7,2,2.2,1.8,2.4,3.2,2.4,2,1.7,2.2,0,7,7,5,4.5
1.6,1.7,2,1.4,2.2,2.5,1.8,1.6,1.4,1.7,7,0,5,7,4.5
1.4,1.6,1.7,1.7,1.8,2.2,2.2,2,1.8,2.4,7,5,0,7,10
1.3,1.4,1.6,1.4,1.7,2,1.7,1.6,1.4,1.8,5,7,7,0,10
1.2,1.4,1.5,1.5,1.6,1.9,1.9,1.7,1.6,2,4.5,4.5,10,10,0
